time_s,x_m,y_m,vx_m_per_s,vy_m_per_s
0.00000000e+00,5.00000000e-06,1.05482138e-05,0.00000000e+00,0.00000000e+00
1.00000000e-10,5.00410596e-06,1.06282917e-05,8.80644797e+01,1.60327421e+03
2.00000000e-10,5.02000075e-06,1.08695828e-05,2.47846246e+02,3.22817113e+03
3.00000000e-10,5.05870041e-06,1.12751731e-05,5.61601034e+02,4.88370149e+03
4.00000000e-10,5.14151928e-06,1.18456589e-05,1.15101747e+03,6.52342037e+03
5.00000000e-10,5.30233016e-06,1.25782992e-05,2.14195928e+03,8.10237256e+03
6.00000000e-10,5.58832280e-06,1.34589433e-05,3.67767500e+03,9.45532815e+03
7.00000000e-10,6.05932129e-06,1.44529977e-05,5.85444198e+03,1.03183002e+04
8.00000000e-10,6.78484257e-06,1.54941458e-05,8.79217661e+03,1.03212317e+04
9.00000000e-10,7.84600556e-06,1.64682937e-05,1.26062237e+04,8.83735223e+03
1.00000000e-09,9.35568754e-06,1.71707630e-05,1.80457258e+04,4.56543735e+03
1.10000000e-09,1.16566901e-05,1.72450048e-05,2.95182356e+04,-2.87505631e+03
1.20000000e-09,1.55082503e-05,1.67436616e-05,4.84400660e+04,-6.71692993e+03
1.30000000e-09,2.17181376e-05,1.58458353e-05,7.98509575e+04,-1.12475789e+04
1.40000000e-09,3.19790277e-05,1.46984474e-05,1.22343706e+05,-1.15649962e+04
1.50000000e-09,4.54049713e-05,1.35289313e-05,1.45797044e+05,-1.17073998e+04
1.60000000e-09,6.12107716e-05,1.24441310e-05,1.74839669e+05,-8.09329367e+03
1.70000000e-09,8.06020345e-05,1.13899615e-05,2.06861816e+05,-1.18906938e+04
1.80000000e-09,1.02628945e-04,1.03100738e-05,2.41787884e+05,-9.77237119e+03
