time_s,x_m,y_m,vx_m_per_s,vy_m_per_s
0.00000000e+00,5.00000000e-06,1.21326686e-05,0.00000000e+00,0.00000000e+00
1.00000000e-10,5.05106821e-06,1.22075017e-05,1.03009484e+03,1.49679880e+03
2.00000000e-10,5.20963605e-06,1.24320617e-05,2.16955637e+03,2.99444898e+03
3.00000000e-10,5.49288082e-06,1.28059866e-05,3.54589572e+03,4.47644876e+03
4.00000000e-10,5.93247803e-06,1.33252815e-05,5.33254649e+03,5.89183249e+03
5.00000000e-10,6.58136187e-06,1.39782380e-05,7.78281560e+03,7.11969126e+03
6.00000000e-10,7.52418850e-06,1.47341874e-05,1.12938198e+04,7.88626215e+03
7.00000000e-10,8.89805473e-06,1.55216531e-05,1.65692348e+04,7.62407110e+03
8.00000000e-10,1.09492290e-05,1.61978795e-05,2.52524283e+04,5.58705759e+03
9.00000000e-10,1.41507736e-05,1.66126318e-05,3.98274983e+04,2.77833068e+03
1.00000000e-09,1.91349408e-05,1.67247434e-05,6.16982275e+04,-1.27002587e+03
1.10000000e-09,2.71521953e-05,1.63890979e-05,1.00480940e+05,-3.78298875e+03
1.20000000e-09,3.87204126e-05,1.61531586e-05,1.28135296e+05,-2.33325561e+03
1.30000000e-09,5.33649218e-05,1.58561594e-05,1.63266533e+05,-2.31210210e+03
1.40000000e-09,7.11718594e-05,1.55805536e-05,1.95740119e+05,-2.68015452e+03
1.50000000e-09,9.21948856e-05,1.53048764e-05,2.27163860e+05,-2.71183869e+03
1.60000000e-09,1.16406177e-04,1.50270601e-05,2.57493430e+05,-2.77878441e+03
1.70000000e-09,1.43785862e-04,1.47478722e-05,2.89699377e+05,-2.71150017e+03
1.80000000e-09,1.74406091e-04,1.44689611e-05,3.22102254e+05,-2.94876798e+03
1.90000000e-09,2.08191684e-04,1.41921944e-05,3.54786601e+05,-2.67097652e+03
2.00000000e-09,2.45190949e-04,1.39128834e-05,3.86156192e+05,-2.51171811e+03
2.10000000e-09,2.85400085e-04,1.36359413e-05,4.18267005e+05,-2.46339124e+03
2.18100000e-09,3.20213235e-04,1.33858874e-05,4.36743226e+05,-3.90018323e+03
