time_s,x_m,y_m,vx_m_per_s,vy_m_per_s
0.00000000e+00,5.00000000e-06,1.12296299e-05,0.00000000e+00,0.00000000e+00
1.00000000e-10,5.02062495e-06,1.13105706e-05,4.19903560e+02,1.61931249e+03
2.00000000e-10,5.08701702e-06,1.15537235e-05,9.31421914e+02,3.24577539e+03
3.00000000e-10,5.21353208e-06,1.19604099e-05,1.64296563e+03,4.89325024e+03
4.00000000e-10,5.42669154e-06,1.25319880e-05,2.68740434e+03,6.52195459e+03
5.00000000e-10,5.76816176e-06,1.32606729e-05,4.24353670e+03,8.01940279e+03
6.00000000e-10,6.29764769e-06,1.41238141e-05,6.49171140e+03,9.16742351e+03
7.00000000e-10,7.09856773e-06,1.50712181e-05,9.70903031e+03,9.61673785e+03
8.00000000e-10,8.28459971e-06,1.60010005e-05,1.42969078e+04,8.65611428e+03
9.00000000e-10,1.00461361e-05,1.67096741e-05,2.16664569e+04,4.89139254e+03
1.00000000e-09,1.28589462e-05,1.69272295e-05,3.59585288e+04,-1.69910437e+02
1.10000000e-09,1.74593092e-05,1.67413511e-05,5.72976742e+04,-3.88348366e+03
1.20000000e-09,2.49921630e-05,1.60465237e-05,9.74370123e+04,-8.53263768e+03
1.30000000e-09,3.67080592e-05,1.52834392e-05,1.31610448e+05,-7.03771534e+03
1.40000000e-09,5.10164932e-05,1.45794883e-05,1.54560209e+05,-7.03912395e+03
1.50000000e-09,6.81149320e-05,1.39306341e-05,1.91699762e+05,-6.76141265e+03
1.60000000e-09,8.85173028e-05,1.31963663e-05,2.15493537e+05,-7.35748989e+03
1.70000000e-09,1.11870504e-04,1.25552707e-05,2.50070610e+05,-7.51798584e+03
1.80000000e-09,1.38224801e-04,1.19086858e-05,2.82865899e+05,-6.40922630e+03
1.90000000e-09,1.67736764e-04,1.12418387e-05,3.13234733e+05,-5.15454519e+03
2.00000000e-09,2.00449389e-04,1.05884680e-05,3.45773988e+05,-6.65637972e+03
2.10000000e-09,2.36376200e-04,9.93225155e-06,3.75133623e+05,-6.67128868e+03
