time_s,x_m,y_m,vx_m_per_s,vy_m_per_s
0.00000000e+00,5.00000000e-06,2.10412501e-05,0.00000000e+00,0.00000000e+00
1.00000000e-10,5.01376061e-06,2.10721791e-05,2.76336247e+02,6.18530514e+02
2.00000000e-10,5.05572252e-06,2.11649354e-05,5.66368823e+02,1.23643786e+03
3.00000000e-10,5.12798354e-06,2.13194234e-05,8.84957182e+02,1.85304077e+03
4.00000000e-10,5.23423884e-06,2.15354732e-05,1.24942577e+03,2.46752270e+03
5.00000000e-10,5.38010427e-06,2.18128220e-05,1.68116432e+03,3.07881307e+03
6.00000000e-10,5.57359446e-06,2.21510422e-05,2.20570398e+03,3.68271825e+03
7.00000000e-10,5.82482883e-06,2.25481311e-05,2.83937788e+03,4.25127928e+03
8.00000000e-10,6.14624352e-06,2.29994833e-05,3.61834291e+03,4.76622787e+03
9.00000000e-10,6.55502564e-06,2.34988409e-05,4.59080411e+03,5.20275712e+03
1.00000000e-09,7.07207318e-06,2.40354966e-05,5.79421076e+03,5.50257828e+03
1.10000000e-09,7.72402588e-06,2.45924632e-05,7.30101411e+03,5.59369804e+03
1.20000000e-09,8.54546866e-06,2.51435712e-05,9.21241934e+03,5.36332467e+03
1.30000000e-09,9.58579154e-06,2.56492189e-05,1.17194555e+04,4.65724227e+03
1.40000000e-09,1.09228199e-05,2.60558227e-05,1.52329827e+04,3.40048480e+03
1.50000000e-09,1.26819179e-05,2.63212477e-05,2.02139702e+04,1.90327947e+03
1.60000000e-09,1.50199887e-05,2.64341461e-05,2.68458137e+04,2.92861148e+02
1.70000000e-09,1.81388810e-05,2.63441228e-05,3.62748886e+04,-2.40925838e+03
1.80000000e-09,2.25294548e-05,2.59301256e-05,5.29486441e+04,-5.36830779e+03
1.90000000e-09,2.88518380e-05,2.53962589e-05,7.30097760e+04,-4.86430516e+03
2.00000000e-09,3.68580806e-05,2.49668004e-05,8.62578352e+04,-4.04772668e+03
2.10000000e-09,4.62977678e-05,2.45580159e-05,1.04053553e+05,-4.02238870e+03
2.20000000e-09,5.76143409e-05,2.41712903e-05,1.20793473e+05,-3.68936219e+03
2.30000000e-09,7.05638671e-05,2.38423008e-05,1.39807267e+05,-2.98473750e+03
2.40000000e-09,8.54808308e-05,2.35495198e-05,1.57704497e+05,-2.57776512e+03
2.50000000e-09,1.02363866e-04,2.33373287e-05,1.79996150e+05,-2.02471272e+03
2.60000000e-09,1.21368305e-04,2.31834197e-05,2.01837006e+05,-9.29502179e+02
2.70000000e-09,1.42748378e-04,2.31100371e-05,2.25455690e+05,-1.30635527e+02
2.80000000e-09,1.66708487e-04,2.31430952e-05,2.52961190e+05,7.20652644e+02
2.90000000e-09,1.93546866e-04,2.32986632e-05,2.84465594e+05,2.09108887e+03
3.00000000e-09,2.23712260e-04,2.36069882e-05,3.20811883e+05,3.95181897e+03
3.10000000e-09,2.57866074e-04,2.41239802e-05,3.65147307e+05,6.42754135e+03
3.20000000e-09,2.97064887e-04,2.49006667e-05,4.21150572e+05,8.57510641e+03
3.25400000e-09,3.20247256e-04,2.53791695e-05,4.32777985e+05,9.16689322e+03
