time_s,x_m,y_m,vx_m_per_s,vy_m_per_s
0.00000000e+00,5.00000000e-06,1.74147748e-05,0.00000000e+00,0.00000000e+00
1.00000000e-10,5.06127736e-06,1.73479939e-05,1.23460544e+03,-1.33549400e+03
2.00000000e-10,5.25066384e-06,1.71477729e-05,2.58230730e+03,-2.66775418e+03
3.00000000e-10,5.58598734e-06,1.68150321e-05,4.17774691e+03,-3.98008094e+03
4.00000000e-10,6.10068309e-06,1.63539288e-05,6.20906792e+03,-5.22401345e+03
5.00000000e-10,6.85190877e-06,1.57763197e-05,8.97062546e+03,-6.28051091e+03
6.00000000e-10,7.93523621e-06,1.51132323e-05,1.29610466e+04,-6.86474690e+03
7.00000000e-10,9.51664172e-06,1.44384441e-05,1.91664691e+04,-6.38909588e+03
8.00000000e-10,1.19117643e-05,1.38887740e-05,2.96919971e+04,-4.41150303e+03
9.00000000e-10,1.56647129e-05,1.35619993e-05,4.64034137e+04,-2.10632266e+03
1.00000000e-09,2.15193287e-05,1.35520121e-05,7.39215358e+04,2.29651648e+03
1.10000000e-09,3.09282407e-05,1.38081052e-05,1.12682375e+05,1.42129602e+03
1.20000000e-09,4.34492786e-05,1.39421311e-05,1.40753811e+05,2.38505474e+03
1.30000000e-09,5.92639315e-05,1.41207003e-05,1.71755875e+05,1.69399906e+03
1.40000000e-09,7.82209385e-05,1.43063187e-05,2.04120563e+05,1.64393828e+03
1.50000000e-09,1.00348693e-04,1.44904465e-05,2.36085411e+05,1.86672993e+03
1.60000000e-09,1.25672340e-04,1.46770538e-05,2.69609953e+05,1.94936845e+03
1.70000000e-09,1.54224324e-04,1.48612405e-05,3.01444853e+05,1.79935959e+03
1.80000000e-09,1.85930836e-04,1.50451478e-05,3.33567989e+05,1.83240649e+03
1.90000000e-09,2.20862745e-04,1.52299933e-05,3.64478446e+05,1.81420125e+03
2.00000000e-09,2.58996997e-04,1.54143890e-05,3.96560837e+05,1.86027191e+03
2.10000000e-09,3.00329192e-04,1.55987723e-05,4.28393955e+05,1.84813286e+03
2.14600000e-09,3.20308757e-04,1.56926258e-05,4.36728284e+05,2.31167600e+03
