time_s,x_m,y_m,vx_m_per_s,vy_m_per_s
0.00000000e+00,5.00000000e-06,1.52369353e-05,0.00000000e+00,0.00000000e+00
1.00000000e-10,5.14135787e-06,1.52250968e-05,2.85288123e+03,-2.36653089e+02
2.00000000e-10,5.58104602e-06,1.51897081e-05,6.02196223e+03,-4.69880550e+02
3.00000000e-10,6.37100806e-06,1.51315357e-05,9.95895003e+03,-6.89802392e+02
4.00000000e-10,7.62718158e-06,1.50532167e-05,1.55668018e+04,-8.63296481e+02
5.00000000e-10,9.61169290e-06,1.49639602e-05,2.51004254e+04,-8.79572230e+02
6.00000000e-10,1.29398002e-05,1.48871717e-05,4.33273867e+04,-6.29074300e+02
7.00000000e-10,1.86129248e-05,1.48345355e-05,7.12471976e+04,-4.60904555e+02
8.00000000e-10,2.72976913e-05,1.47902231e-05,1.02628719e+05,-4.35142894e+02
9.00000000e-10,3.91504181e-05,1.47468191e-05,1.34437059e+05,-4.33649423e+02
1.00000000e-09,5.41857517e-05,1.47034575e-05,1.66270773e+05,-4.33601454e+02
1.10000000e-09,7.24048188e-05,1.46600981e-05,1.98112080e+05,-4.33585515e+02
1.20000000e-09,9.38085482e-05,1.46167407e-05,2.29964835e+05,-4.33562512e+02
1.30000000e-09,1.18398342e-04,1.45733859e-05,2.61834295e+05,-4.33531123e+02
1.40000000e-09,1.46176152e-04,1.45300347e-05,2.93726076e+05,-4.33491743e+02
1.50000000e-09,1.77144467e-04,1.44866878e-05,3.25645074e+05,-4.33446710e+02
1.60000000e-09,2.11306167e-04,1.44433454e-05,3.57593937e+05,-4.33400849e+02
1.70000000e-09,2.48664210e-04,1.44000074e-05,3.89571279e+05,-4.33361531e+02
1.80000000e-09,2.89221128e-04,1.43566694e-05,4.21568032e+05,-4.33737015e+02
1.87200000e-09,3.20289021e-04,1.43132708e-05,4.36635623e+05,-9.24859033e+02
